dataset,kind,code,ROC-AUC,ROC-AUC_std,AP(bal),AP(bal)_std,PR-AUC@p,PR-AUC@p_std,Prec@80%rec,Prec@80%rec_std,Alert%,Alert%_std
Primary (Azamuke 2024),model,QDFL,0.8776999999999999,0.006154266812551763,0.8079666666666666,0.010726524755645379,0.3273333333333333,0.017248574820354294,0.32193333333333335,0.017399377383496513,25.49416666666667,1.2924790456069593
Primary (Azamuke 2024),model,QDFP,0.8725666666666667,0.00821817092381641,0.8036333333333333,0.012968937247642483,0.3216666666666667,0.01932261196974469,0.32043333333333335,0.014041130058985232,25.6173,1.1675113275681526
Primary (Azamuke 2024),model,QDQC,0.8723666666666666,0.014461615861776324,0.8026333333333332,0.0235803590586244,0.3206,0.03542760223328738,0.3232333333333333,0.021586299667459726,25.354033333333334,1.624757009011914
Primary (Azamuke 2024),model,QDQS,0.8678333333333333,0.01269737505680753,0.8004333333333333,0.023050560369183185,0.3194,0.03273904396893739,0.3151333333333333,0.019236900304709686,26.019333333333336,1.5269740774922664
Primary (Azamuke 2024),model,QSFA,0.7640333333333333,0.012989354615733884,0.7135000000000001,0.02098082457864083,0.22856666666666667,0.02122270796419065,0.18286666666666665,0.009343357711943426,44.783433333333335,2.3032548140257756
Primary (Azamuke 2024),model,QSFP,0.7603666666666666,0.02132049092617871,0.7050000000000001,0.03552506157629854,0.22203333333333333,0.03267810174005427,0.1834,0.0133790881602596,44.68343333333333,3.386530320746155
Primary (Azamuke 2024),model,VQDVF,0.8856,0.011069101137836414,0.8215666666666667,0.018461265756532674,0.3468333333333333,0.03000563835903735,0.3297666666666667,0.022676933949131554,25.0595,1.6935090182812769
Primary (Azamuke 2024),model,VQFA,0.8566333333333334,0.014604736674557584,0.7869666666666667,0.003972195027101166,0.2981666666666667,0.0014029730337124253,0.2959333333333333,0.023151853777469693,27.886,2.0325023111918625
Primary (Azamuke 2024),model,VQFP,0.8644,0.008322259308629534,0.7875666666666667,0.00958036185815869,0.29833333333333334,0.011650464940650744,0.30763333333333337,0.01790484105858778,26.735,1.5163479910627564
Primary (Azamuke 2024),model,VQQD,0.8676333333333334,0.001971885730287849,0.7970666666666667,0.0028867513459191253,0.31293333333333334,0.006265647080173913,0.3131333333333333,0.000814452781531874,26.1459,0.10610245048852604
Primary (Azamuke 2024),model,VQQS,0.8712333333333332,0.010811722033689004,0.7976000000000001,0.01079814798934522,0.31116666666666665,0.012993010941785132,0.3178666666666667,0.016554707286247222,25.823400000000003,1.3754976717536314
Primary (Azamuke 2024),baseline,MLP,0.8841666666666667,0.004922736366427268,0.8077666666666667,0.01967062107136075,0.3284333333333333,0.02179961773365207,0.3308,0.0025553864678315944,24.822766666666666,0.054598702671927485
Primary (Azamuke 2024),baseline,XGBoost,0.8896000000000001,0.005607138307540012,0.8271666666666667,0.008203251387894689,0.35453333333333337,0.013870952863207093,0.33089999999999997,0.008421698166047003,24.73223333333333,0.6997565457596185
Primary (Azamuke 2024),ensemble,Meta-learner (CV stack),0.8854000000000001,0.010028210209199142,0.8231,0.008140945890974985,0.35090000000000005,0.009915392074950326,0.3302333333333333,0.020868596822338385,25.00303333333333,1.181697906968417
Primary (Azamuke 2024),ensemble,Top-5 weighted,0.8794333333333334,0.008379041313482341,0.8043666666666667,0.015946577480242505,0.321,0.02105112823579648,0.32143333333333335,0.0228458603106413,25.6377,1.5143490152537125
Primary (Azamuke 2024),ensemble,Weighted vote (all 11),0.8787666666666666,0.006742279535407975,0.8039999999999999,0.012375580794461242,0.32066666666666666,0.015583752222533586,0.32380000000000003,0.019141447176219243,25.37783333333333,1.5344983572273083
PaySim (Lopez-Rojas),model,QDFL,0.9115333333333333,0.08155423553276217,0.9114333333333334,0.06867298110125289,0.1447,0.10479680338636285,0.013199999999999998,0.009373899935459099,14.251866666666666,14.35843337148358
PaySim (Lopez-Rojas),model,QDFP,0.8979333333333334,0.10126990339352189,0.8997666666666667,0.08776815101922236,0.1275,0.09457007983500913,0.011233333333333333,0.008090632443346646,18.4797,20.107693532576032
PaySim (Lopez-Rojas),model,QDQC,0.9360333333333334,0.006945022198175287,0.9287000000000001,0.006298809411310742,0.1257,0.06635454016116756,0.009633333333333334,0.001004158022092792,10.822866666666664,1.0772004355427074
